epoch,loss,val_loss
0,-4.788964369893074,-2.4852279673020043
1,-4.837690315147241,-2.9682483542710543
2,-4.949387487272421,-3.1507067531347275
3,-4.983417657017708,-2.4125150938828788
4,-4.884810415655375,-3.0243996158242226
5,-4.746858437359333,-2.3446791792909303
6,-4.852355129147569,-2.882411723335584
7,-4.81356938406825,-2.1663893163204193
8,-4.851597835123539,-3.4749940993885198
9,-4.762045195450385,-2.1844761644800506
10,-5.054421359797319,-3.05900489538908
11,-4.915870512773593,-2.6491949583093324
12,-4.95901768853267,-2.6307109283904233
13,-4.92738467057546,-2.881400680169463
14,-4.657236449917158,-2.2629690965016684
15,-4.989415041605631,-2.964432460566362
16,-5.095942327876886,-2.3797915627559028
17,-4.6944658319155375,-3.0930266603827477
18,-5.074017204840978,-2.399398836772889
19,-4.813233590374391,-2.5948722027242184
20,-4.822524727384249,-2.4657664156208434
21,-5.098134557406108,-2.93724761903286
22,-4.691759605954091,-2.572475808362166
23,-4.753269465516011,-2.839441768825054
24,-4.9770279511809346,-2.736538805998862
25,-4.8572471236189205,-2.5458697229623795
26,-4.900639402618011,-2.9511565640568733
27,-4.936073449502389,-2.7922790919740996
28,-4.881327956666549,-3.0918224143485227
29,-4.942554705341657,-2.4014916556576886
30,-4.995128875474135,-2.8561853083471456
31,-4.665800708035628,-2.4307671959201493
32,-4.844980507344007,-2.0895558819174767
33,-4.903535531957944,-2.221714997664094
34,-4.705619063973427,-2.651039997736613
35,-4.865441684797406,-2.753742760668198
36,-4.861796690771977,-2.451219101746877
37,-4.85578107436498,-2.1645551503946385
38,-4.959814016520977,-2.558958555261294
39,-4.976428188880285,-2.513205148279667
40,-5.064491355419159,-2.4644154409567514
